Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
MIG,0,0,0.00,0,0.00,0.00,0,0
MRGR,0,0,0.00,0,0.00,0.00,0,0
NULC,0,0,0.00,0,0.00,0.00,0,0
NVMZ,0,0,0.00,0,0.00,0.00,0,0
OCTZ,0,0,0.00,0,0.00,0.00,0,0
PBDM,0,0,0.00,0,0.00,0.00,0,0
PBEE,0,0,0.00,0,0.00,0.00,0,0
PSFD,0,0,0.00,0,0.00,0.00,0,0
PSMD,0,0,0.00,0,0.00,0.00,0,0
REC,0,0,0.00,0,0.00,0.00,0,0
RODE,0,0,0.00,0,0.00,0.00,0,0
RODI,0,0,0.00,0,0.00,0.00,0,0
SEPZ,0,0,0.00,0,0.00,0.00,0,0
SPMV,0,0,0.00,0,0.00,0.00,0,0
STLC,0,0,0.00,0,0.00,0.00,0,0
STLV,0,0,0.00,0,0.00,0.00,0,0
STMB,0,0,0.00,0,0.00,0.00,0,0
TEGS,0,0,0.00,0,0.00,0.00,0,0
TFJL,0,0,0.00,0,0.00,0.00,0,0
TSJA,0,0,0.00,0,0.00,0.00,0,0
TTAI,0,0,0.00,0,0.00,0.00,0,0
UAPR,0,0,0.00,0,0.00,0.00,0,0
UAUG,0,0,0.00,0,0.00,0.00,0,0
UJAN,0,0,0.00,0,0.00,0.00,0,0
UJUN,0,0,0.00,0,0.00,0.00,0,0
UNOV,0,0,0.00,0,0.00,0.00,0,0
USEQ,0,0,0.00,0,0.00,0.00,0,0
VMOT,0,0,0.00,0,0.00,0.00,0,0
WFIG,0,0,0.00,0,0.00,0.00,0,0
WIL,0,0,0.00,0,0.00,0.00,0,0
